[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 027 |  88.0s | train loss 0.1959 AP 0.6339 | val loss 0.2043 AP 0.6310 | test loss 0.2179 AP 0.6059 | best val 0.6343 (epoch 25, test 0.6023228002967056)
epoch 028 |  87.1s | train loss 0.1928 AP 0.6499 | val loss 0.2022 AP 0.6338 | test loss 0.2126 AP 0.6134 | best val 0.6343 (epoch 25, test 0.6023228002967056)
epoch 029 |  87.9s | train loss 0.1901 AP 0.6542 | val loss 0.2026 AP 0.6373 | test loss 0.2141 AP 0.6128 | best val 0.6373 (epoch 29, test 0.6127793934726851)
epoch 030 |  88.2s | train loss 0.1885 AP 0.6509 | val loss 0.2103 AP 0.6303 | test loss 0.2235 AP 0.6159 | best val 0.6373 (epoch 29, test 0.6127793934726851)
epoch 031 |  87.5s | train loss 0.1858 AP 0.6636 | val loss 0.2016 AP 0.6457 | test loss 0.2124 AP 0.6221 | best val 0.6457 (epoch 31, test 0.6221255716293022)
epoch 032 |  84.7s | train loss 0.1840 AP 0.6671 | val loss 0.2043 AP 0.6498 | test loss 0.2164 AP 0.6151 | best val 0.6498 (epoch 32, test 0.6150907236798777)
epoch 033 |  85.5s | train loss 0.1816 AP 0.6797 | val loss 0.2015 AP 0.6453 | test loss 0.2099 AP 0.6292 | best val 0.6498 (epoch 32, test 0.6150907236798777)
epoch 034 |  86.3s | train loss 0.1808 AP 0.6795 | val loss 0.2029 AP 0.6614 | test loss 0.2125 AP 0.6430 | best val 0.6614 (epoch 34, test 0.6430354442688673)
epoch 035 |  85.8s | train loss 0.1803 AP 0.6781 | val loss 0.1992 AP 0.6597 | test loss 0.2090 AP 0.6357 | best val 0.6614 (epoch 34, test 0.6430354442688673)
epoch 036 |  87.7s | train loss 0.1783 AP 0.6810 | val loss 0.2004 AP 0.6574 | test loss 0.2182 AP 0.6163 | best val 0.6614 (epoch 34, test 0.6430354442688673)
epoch 037 |  86.5s | train loss 0.1764 AP 0.6837 | val loss 0.1980 AP 0.6551 | test loss 0.2101 AP 0.6129 | best val 0.6614 (epoch 34, test 0.6430354442688673)
epoch 038 |  87.0s | train loss 0.1736 AP 0.6974 | val loss 0.1995 AP 0.6576 | test loss 0.2116 AP 0.6214 | best val 0.6614 (epoch 34, test 0.6430354442688673)
epoch 039 |  86.8s | train loss 0.1735 AP 0.6922 | val loss 0.1990 AP 0.6620 | test loss 0.2102 AP 0.6433 | best val 0.6620 (epoch 39, test 0.6433067617344638)
epoch 040 |  85.2s | train loss 0.1713 AP 0.6999 | val loss 0.1944 AP 0.6631 | test loss 0.2056 AP 0.6423 | best val 0.6631 (epoch 40, test 0.6423026229382522)
epoch 041 |  86.0s | train loss 0.1667 AP 0.7107 | val loss 0.1990 AP 0.6642 | test loss 0.2098 AP 0.6328 | best val 0.6642 (epoch 41, test 0.632823169268446)
