{'dataset': 'Peptides-func', 'max_hops': 40, 'use_lap_pe': True, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-07, 'weight_decay': 0.0003, 'batch_size': 32, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_func_best_lape', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 023 | 130.7s | train loss 0.1884 AP 0.6500 | val loss 0.2127 AP 0.6321 | test loss 0.2234 AP 0.6107 | best val 0.6321 (epoch 23, test 0.6106949067278199)
epoch 024 | 129.6s | train loss 0.1849 AP 0.6600 | val loss 0.2184 AP 0.6177 | test loss 0.2274 AP 0.6085 | best val 0.6321 (epoch 23, test 0.6106949067278199)
epoch 025 | 128.7s | train loss 0.1829 AP 0.6656 | val loss 0.2037 AP 0.6428 | test loss 0.2152 AP 0.6275 | best val 0.6428 (epoch 25, test 0.6274732898796058)
epoch 026 | 130.4s | train loss 0.1773 AP 0.6827 | val loss 0.2181 AP 0.6301 | test loss 0.2265 AP 0.6132 | best val 0.6428 (epoch 25, test 0.6274732898796058)
epoch 027 | 135.1s | train loss 0.1731 AP 0.6899 | val loss 0.2026 AP 0.6443 | test loss 0.2139 AP 0.6333 | best val 0.6443 (epoch 27, test 0.6333031667049049)
epoch 028 | 134.2s | train loss 0.1684 AP 0.7024 | val loss 0.2002 AP 0.6700 | test loss 0.2148 AP 0.6360 | best val 0.6700 (epoch 28, test 0.6360292033044282)
epoch 029 | 132.6s | train loss 0.1665 AP 0.7049 | val loss 0.1988 AP 0.6642 | test loss 0.2151 AP 0.6237 | best val 0.6700 (epoch 28, test 0.6360292033044282)
epoch 030 | 127.8s | train loss 0.1642 AP 0.7157 | val loss 0.2037 AP 0.6755 | test loss 0.2210 AP 0.6391 | best val 0.6755 (epoch 30, test 0.6390621794733887)
epoch 031 | 128.2s | train loss 0.1601 AP 0.7228 | val loss 0.2200 AP 0.6615 | test loss 0.2383 AP 0.6372 | best val 0.6755 (epoch 30, test 0.6390621794733887)
epoch 032 | 126.3s | train loss 0.1557 AP 0.7324 | val loss 0.2145 AP 0.6765 | test loss 0.2340 AP 0.6427 | best val 0.6765 (epoch 32, test 0.6426695320001115)
epoch 033 | 128.2s | train loss 0.1534 AP 0.7385 | val loss 0.2110 AP 0.6721 | test loss 0.2256 AP 0.6386 | best val 0.6765 (epoch 32, test 0.6426695320001115)
epoch 034 | 125.9s | train loss 0.1490 AP 0.7451 | val loss 0.2007 AP 0.6791 | test loss 0.2141 AP 0.6492 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 035 | 127.5s | train loss 0.1465 AP 0.7557 | val loss 0.1960 AP 0.6693 | test loss 0.2075 AP 0.6522 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 036 | 129.4s | train loss 0.1421 AP 0.7632 | val loss 0.2129 AP 0.6756 | test loss 0.2264 AP 0.6572 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 037 | 126.8s | train loss 0.1372 AP 0.7763 | val loss 0.2212 AP 0.6684 | test loss 0.2294 AP 0.6562 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 038 | 129.0s | train loss 0.1351 AP 0.7777 | val loss 0.2084 AP 0.6691 | test loss 0.2204 AP 0.6528 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 039 | 129.4s | train loss 0.1343 AP 0.7809 | val loss 0.2059 AP 0.6753 | test loss 0.2206 AP 0.6476 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 040 | 128.9s | train loss 0.1318 AP 0.7847 | val loss 0.2281 AP 0.6732 | test loss 0.2339 AP 0.6558 | best val 0.6791 (epoch 34, test 0.6492117287176955)
epoch 041 | 128.7s | train loss 0.1281 AP 0.7947 | val loss 0.2174 AP 0.6829 | test loss 0.2337 AP 0.6609 | best val 0.6829 (epoch 41, test 0.6609410981400576)
epoch 042 | 126.9s | train loss 0.1257 AP 0.7955 | val loss 0.2039 AP 0.6923 | test loss 0.2171 AP 0.6758 | best val 0.6923 (epoch 42, test 0.6758193074408501)
epoch 043 | 128.4s | train loss 0.1222 AP 0.8061 | val loss 0.2170 AP 0.6823 | test loss 0.2297 AP 0.6601 | best val 0.6923 (epoch 42, test 0.6758193074408501)
epoch 044 | 128.9s | train loss 0.1195 AP 0.8116 | val loss 0.2231 AP 0.6758 | test loss 0.2412 AP 0.6619 | best val 0.6923 (epoch 42, test 0.6758193074408501)
