[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 026 |  90.3s | train loss 0.2916 MAE 0.2916 | val loss 0.2724 MAE 0.2722 | test loss 0.2781 MAE 0.2780 | best val 0.2714 (epoch 24, test 0.27849914359193545)
epoch 027 |  87.7s | train loss 0.2898 MAE 0.2898 | val loss 0.2711 MAE 0.2710 | test loss 0.2775 MAE 0.2774 | best val 0.2710 (epoch 27, test 0.2774088254226435)
epoch 028 |  90.2s | train loss 0.2902 MAE 0.2902 | val loss 0.2858 MAE 0.2857 | test loss 0.2939 MAE 0.2938 | best val 0.2710 (epoch 27, test 0.2774088254226435)
epoch 029 |  88.2s | train loss 0.2899 MAE 0.2899 | val loss 0.2823 MAE 0.2822 | test loss 0.2888 MAE 0.2887 | best val 0.2710 (epoch 27, test 0.2774088254226435)
epoch 030 |  89.1s | train loss 0.2910 MAE 0.2910 | val loss 0.2696 MAE 0.2694 | test loss 0.2760 MAE 0.2759 | best val 0.2694 (epoch 30, test 0.27588624486643587)
epoch 031 |  87.9s | train loss 0.2864 MAE 0.2865 | val loss 0.2693 MAE 0.2691 | test loss 0.2761 MAE 0.2760 | best val 0.2691 (epoch 31, test 0.27598644188957155)
epoch 032 |  89.2s | train loss 0.2845 MAE 0.2845 | val loss 0.2685 MAE 0.2683 | test loss 0.2753 MAE 0.2752 | best val 0.2683 (epoch 32, test 0.2752131188746836)
epoch 033 |  89.6s | train loss 0.2838 MAE 0.2839 | val loss 0.2763 MAE 0.2761 | test loss 0.2828 MAE 0.2827 | best val 0.2683 (epoch 32, test 0.2752131188746836)
epoch 034 |  87.1s | train loss 0.2814 MAE 0.2814 | val loss 0.2671 MAE 0.2669 | test loss 0.2724 MAE 0.2723 | best val 0.2669 (epoch 34, test 0.27232351493751367)
epoch 035 |  87.7s | train loss 0.2831 MAE 0.2831 | val loss 0.3029 MAE 0.3027 | test loss 0.3121 MAE 0.3119 | best val 0.2669 (epoch 34, test 0.27232351493751367)
epoch 036 |  88.6s | train loss 0.2798 MAE 0.2797 | val loss 0.2647 MAE 0.2645 | test loss 0.2703 MAE 0.2702 | best val 0.2645 (epoch 36, test 0.2701890121729389)
epoch 037 |  89.3s | train loss 0.2825 MAE 0.2824 | val loss 0.2706 MAE 0.2705 | test loss 0.2766 MAE 0.2765 | best val 0.2645 (epoch 36, test 0.2701890121729389)
epoch 038 |  88.6s | train loss 0.2773 MAE 0.2773 | val loss 0.2679 MAE 0.2677 | test loss 0.2732 MAE 0.2731 | best val 0.2645 (epoch 36, test 0.2701890121729389)
epoch 039 |  88.6s | train loss 0.2780 MAE 0.2780 | val loss 0.2760 MAE 0.2758 | test loss 0.2836 MAE 0.2835 | best val 0.2645 (epoch 36, test 0.2701890121729389)
epoch 040 |  88.2s | train loss 0.2782 MAE 0.2782 | val loss 0.2702 MAE 0.2700 | test loss 0.2804 MAE 0.2803 | best val 0.2645 (epoch 36, test 0.2701890121729389)
epoch 041 |  86.1s | train loss 0.2762 MAE 0.2761 | val loss 0.2621 MAE 0.2619 | test loss 0.2666 MAE 0.2665 | best val 0.2619 (epoch 41, test 0.26646629009254774)
epoch 042 |  85.1s | train loss 0.2759 MAE 0.2758 | val loss 0.2702 MAE 0.2700 | test loss 0.2772 MAE 0.2771 | best val 0.2619 (epoch 41, test 0.26646629009254774)
epoch 043 |  88.6s | train loss 0.2738 MAE 0.2738 | val loss 0.2655 MAE 0.2653 | test loss 0.2674 MAE 0.2673 | best val 0.2619 (epoch 41, test 0.26646629009254774)
epoch 044 |  86.4s | train loss 0.2733 MAE 0.2732 | val loss 0.2590 MAE 0.2589 | test loss 0.2633 MAE 0.2632 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 045 |  88.2s | train loss 0.2716 MAE 0.2716 | val loss 0.2641 MAE 0.2640 | test loss 0.2695 MAE 0.2694 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 046 |  88.4s | train loss 0.2711 MAE 0.2711 | val loss 0.2662 MAE 0.2661 | test loss 0.2745 MAE 0.2743 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 047 |  88.3s | train loss 0.2696 MAE 0.2696 | val loss 0.2637 MAE 0.2635 | test loss 0.2685 MAE 0.2684 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 048 |  89.4s | train loss 0.2718 MAE 0.2717 | val loss 0.2867 MAE 0.2866 | test loss 0.2923 MAE 0.2922 | best val 0.2589 (epoch 44, test 0.2631713428664674)
