{'dataset': 'PascalVOC-SP', 'max_hops': 40, 'use_lap_pe': False, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-06, 'weight_decay': 0.0003, 'batch_size': 128, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_pascal_func_best', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[PascalVOC-SP] task=multiclass level=node metric=node_f1_macro (higher_is_better=True)
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/train.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/val.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 022 | 209.0s | train loss 1.2660 F1 0.0419 | val loss 1.2723 F1 0.0417 | test loss 1.2308 F1 0.0403 | best val 0.0447 (epoch 20, test 0.046187926249195335)
epoch 023 | 211.1s | train loss 1.2646 F1 0.0421 | val loss 1.2728 F1 0.0450 | test loss 1.2327 F1 0.0452 | best val 0.0450 (epoch 23, test 0.045151908040093044)
epoch 024 | 211.9s | train loss 1.2587 F1 0.0429 | val loss 1.2758 F1 0.0409 | test loss 1.2381 F1 0.0413 | best val 0.0450 (epoch 23, test 0.045151908040093044)
epoch 025 | 212.2s | train loss 1.2620 F1 0.0421 | val loss 1.2595 F1 0.0431 | test loss 1.2143 F1 0.0444 | best val 0.0450 (epoch 23, test 0.045151908040093044)
epoch 026 | 212.4s | train loss 1.2539 F1 0.0429 | val loss 1.2652 F1 0.0411 | test loss 1.2243 F1 0.0413 | best val 0.0450 (epoch 23, test 0.045151908040093044)
epoch 027 | 211.2s | train loss 1.2500 F1 0.0444 | val loss 1.2639 F1 0.0458 | test loss 1.2200 F1 0.0460 | best val 0.0458 (epoch 27, test 0.046022144659707734)
epoch 028 | 209.7s | train loss 1.2497 F1 0.0438 | val loss 1.2603 F1 0.0459 | test loss 1.2244 F1 0.0466 | best val 0.0459 (epoch 28, test 0.04660346708941698)
epoch 029 | 208.6s | train loss 1.2479 F1 0.0440 | val loss 1.2533 F1 0.0450 | test loss 1.2053 F1 0.0459 | best val 0.0459 (epoch 28, test 0.04660346708941698)
epoch 030 | 211.2s | train loss 1.2456 F1 0.0452 | val loss 1.2684 F1 0.0427 | test loss 1.2268 F1 0.0419 | best val 0.0459 (epoch 28, test 0.04660346708941698)
epoch 031 | 212.5s | train loss 1.2406 F1 0.0475 | val loss 1.2450 F1 0.0432 | test loss 1.2032 F1 0.0433 | best val 0.0459 (epoch 28, test 0.04660346708941698)
